List Sr.No.,Set No.,2022 Set,First Name,Surname,Country,State Association,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh
1,1,M,R,Ashwin,India,TNCA,17-09-1986,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,84,112,51,167,"CSK, RSP, KXIP, DC",DC,13,Capped,200
2,1,M,Trent,Boult,New Zealand,,22-07-1989,32,BOWLER,RHB,LEFT ARM Fast Medium,74,93,44,62,"SRH, KKR, DD,MI",MI,14,Capped,200
3,1,M,Pat,Cummins,Australia,,08-05-1993,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,38,69,37,37,"DD, MI, KKR",KKR,7,Capped,200
4,1,M,Quinton,De Kock,South Africa,,17-12-1992,29,WICKETKEEPER,LHB,-,54,125,61,77,"SRH, DD, RCB, MI",MI,11,Capped,200
5,1,M,Shikhar,Dhawan,India,DDCA,05-12-1985,36,BATSMAN,LHB,-,34,146,68,192,"DCH, MI, SRH, DC",DC,16,Capped,200
6,1,M,Faf,Du Plessis,South Africa,,13-07-1984,37,BATSMAN,RHB,RIGHT ARM Leg Spin,69,143,50,100,"RPS, CSK",CSK,16,Capped,200
7,1,M,Shreyas,Iyer,India,MCA,06-12-1994,27,BATSMAN,RHB,RIGHT ARM Leg Spin,2,23,32,87,DC,DC,8,Capped,200
8,1,M,Kagiso,Rabada,South Africa,,25-05-1995,26,BOWLER,LHB,RIGHT ARM Fast,50,82,40,50,DC,DC,15,Capped,200
9,1,M,Mohammad,Shami,India,CAB,09-03-1990,32,BOWLER,RHB,RIGHT ARM Fast,57,79,17,77,"DCH, KKR, DD, PBKS",PBKS,14,Capped,200
10,1,M,David,Warner,Australia,,27-10-1986,35,BATSMAN,LHB,-,91,128,88,150,"DD, SRH",SRH,8,Capped,200
11,2,BA1,Shimron,Hetmyer,West Indies,,26-12-1996,25,BATSMAN,LHB,RIGHT ARM Leg Spin,16,47,42,31,"RCB, DC",DC,14,Capped,150
12,2,BA1,David,Miller,South Africa,,10-06-1989,32,BATSMAN,LHB,-,,138,95,89,"KXIP, RR",RR,9,Capped,100
