Players,2022 Set,Country,State Association,Age,Specialism,Batting Style,Bowling Style,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),2021 Team,2021 IPL,C/U/A,Reserve Price Rs Lakh,Price Paid,Team,Bid
R Ashwin,M,India,TNCA,35,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,84.0,112.0,51.0,167.0,"CSK, RSP, KXIP, DC",DC,13.0,Capped,200,50000000.0,RR,Sold
Trent Boult,M,New Zealand,F,32,BOWLER,RHB,LEFT ARM Fast Medium,74.0,93.0,44.0,62.0,"SRH, KKR, DD,MI",MI,14.0,Capped,200,80000000.0,RR,Sold
Pat Cummins,M,Australia,F,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,38.0,69.0,37.0,37.0,"DD, MI, KKR",KKR,7.0,Capped,200,72500000.0,KKR,Sold
Quinton De Kock,M,South Africa,F,29,WICKETKEEPER,LHB,-,54.0,125.0,61.0,77.0,"SRH, DD, RCB, MI",MI,11.0,Capped,200,67500000.0,LSG,Sold
Shikhar Dhawan,M,India,DDCA,36,BATSMAN,LHB,-,34.0,146.0,68.0,192.0,"DCH, MI, SRH, DC",DC,16.0,Capped,200,82500000.0,PK,Sold
Faf Du Plessis,M,South Africa,F,37,BATSMAN,RHB,RIGHT ARM Leg Spin,69.0,143.0,50.0,100.0,"RPS, CSK",CSK,16.0,Capped,200,70000000.0,RCB,Sold
Shreyas Iyer,M,India,MCA,27,BATSMAN,RHB,RIGHT ARM Leg Spin,2.0,23.0,32.0,87.0,DC,DC,8.0,Capped,200,122500000.0,KKR,Sold
Kagiso Rabada,M,South Africa,F,26,BOWLER,LHB,RIGHT ARM Fast,50.0,82.0,40.0,50.0,DC,DC,15.0,Capped,200,92500000.0,PK,Sold
Mohammad Shami,M,India,CAB,32,BOWLER,RHB,RIGHT ARM Fast,57.0,79.0,17.0,77.0,"DCH, KKR, DD, PBKS",PBKS,14.0,Capped,200,62500000.0,GT,Sold
David Warner,M,Australia,F,35,BATSMAN,LHB,-,91.0,128.0,88.0,150.0,"DD, SRH",SRH,8.0,Capped,200,62500000.0,DC,Sold
Shimron Hetmyer,BA1,West Indies,F,25,BATSMAN,LHB,RIGHT ARM Leg Spin,16.0,47.0,42.0,31.0,"RCB, DC",DC,14.0,Capped,150,85000000.0,RR,Sold
David Miller,BA1,South Africa,F,32,BATSMAN,LHB,-,0.0,138.0,95.0,89.0,"KXIP, RR",RR,9.0,Capped,100,30000000.0,GT,Sold
Devdutt Padikkal,BA1,India,KSCA,21,BATSMAN,LHB,RIGHT ARM Off Spin,0.0,0.0,2.0,29.0,RCB,RCB,14.0,Capped,200,77500000.0,RR,Sold
Manish Pandey,BA1,India,KSCA,32,BATSMAN,RHB,RIGHT ARM Off Spin,0.0,29.0,39.0,154.0,"MI, RCB, PWI, KKR, SRH",SRH,8.0,Capped,100,46000000.0,LSG,Sold
Suresh Raina,BA1,India,UPCA,35,BATSMAN,LHB,RIGHT ARM Off Spin,18.0,226.0,78.0,205.0,"CSK, GL",CSK,12.0,Capped,200,0.0,UnSold,UnSold
Jason Roy,BA1,England,F,31,BATSMAN,RHB,-,5.0,98.0,53.0,13.0,"GL, DC, SRH",SRH,5.0,Capped,200,20000000.0,GT,Sold
Steve Smith,BA1,Australia,F,32,BATSMAN,RHB,-,82.0,128.0,52.0,103.0,"PWI, RPS, RR, DC",DC,8.0,Capped,200,0.0,UnSold,UnSold
Robin Uthappa,BA1,India,KCA,36,BATSMAN,RHB,-,0.0,46.0,13.0,193.0,"MI, PWI, RCB, KKR, RR, CSK",CSK,4.0,Capped,200,20000000.0,CSK,Sold
Shakib Al Hasan,AL1,Bangladesh,F,35,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,59.0,215.0,94.0,71.0,"SRH, KKR",KKR,8.0,Capped,200,0.0,UnSold,UnSold
Dwayne Bravo,AL1,West Indies,F,38,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,40.0,164.0,91.0,151.0,"MI, GL, CSK",CSK,11.0,Capped,200,44000000.0,CSK,Sold
Wanindu Hasaranga,AL1,Sri Lanka,F,24,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,4.0,29.0,33.0,2.0,RCB,RCB,2.0,Capped,100,107500000.0,RCB,Sold
Jason Holder,AL1,West Indies,F,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,53.0,124.0,30.0,26.0,"CSK, KKR, SRH",SRH,8.0,Capped,150,87500000.0,LSG,Sold
Mitchell Marsh,AL1,Australia,F,30,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,32.0,63.0,36.0,21.0,"DCH, PWI, RPS, SRH",Do No Play,0.0,Capped,200,65000000.0,DC,Sold
Mohammad Nabi,AL1,Afghanistan,F,37,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,3.0,127.0,86.0,17.0,SRH,SRH,3.0,Capped,100,10000000.0,KKR,Sold
Krunal Pandya,AL1,India,BCA,31,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,0.0,5.0,19.0,84.0,MI,MI,13.0,Capped,200,82500000.0,LSG,Sold
Harshal Patel,AL1,India,HCA,31,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,0.0,0.0,2.0,63.0,"DC, RCB",RCB,15.0,Capped,200,107500000.0,RCB,Sold
Nitish Rana,AL1,India,DDCA,28,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,0.0,1.0,2.0,77.0,"MI, KKR",KKR,17.0,Capped,100,80000000.0,KKR,Sold
Washington Sundar,AL1,India,TNCA,22,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,4.0,1.0,31.0,42.0,RCB,RCB,6.0,Capped,150,87500000.0,SRH,Sold
Jonny Bairstow,WK1,England,F,32,WICKETKEEPER,RHB,-,80.0,89.0,63.0,28.0,SRH,SRH,7.0,Capped,150,67500000.0,PK,Sold
Sam Billings,WK1,England,F,30,WICKETKEEPER,RHB,-,1.0,25.0,33.0,22.0,"CSK, DC",DC,0.0,Capped,200,20000000.0,KKR,Sold
Dinesh Karthik,WK1,India,TNCA,36,WICKETKEEPER,RHB,-,26.0,94.0,32.0,213.0,"KXIP, MI, DD, RCB, GL, KKR",KKR,17.0,Capped,200,55000000.0,RCB,Sold
Ishan Kishan,WK1,India,JSCA,23,WICKETKEEPER,LHB,-,0.0,2.0,5.0,61.0,"GL , MI",MI,10.0,Capped,200,152500000.0,MI,Sold
Nicholas Pooran,WK1,West Indies,F,26,WICKETKEEPER,LHB,-,0.0,34.0,49.0,33.0,"MI, PBKS",PBKS,12.0,Capped,150,107500000.0,SRH,Sold
